l_OA_44_44.dot	C	20	16	44,44	44:63-65:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0|44:63-65:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0
l_OA_45_43.dot	C	20	16	45,43	45:64-66:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0|43:F64:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0
l_OA_45_44.dot	C	20	16	45,44	45:64-66:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0|44:63-65:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0
l_OA_46_42.dot	C	20	16	46,42	46:66-68:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0:0:0:0|42:60-62:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0
l_OA_46_43.dot	C	20	16	46,43	46:66-68:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0:0:0:0|43:61-63:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0:0:0:0
l_OA_47_41.dot	C	20	16	47,41	47:67-69:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0:0:0:0|41:F61:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0:0:0:0
l_OA_50_38.dot	C	20	16	50,38	50:72-74:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0:0:0:0|38:54-56:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0:0:0:0
l_OA_50_39.dot	C	21	16	50,39	50:72-74:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0:0:0:0|39:55-57:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0:0:0:0
l_OA_55_33.dot	C	20	16	55,33	55:79-81:0:0:0:0:9:0:0:0:0:0:0:0:0:9:0:0:0:0|33:F49:0:0:0:0:5:0:0:0:0:0:0:0:0:5:0:0:0:0
l_OA_60_28.dot	C	20	16	60,28	60:87-89:0:0:0:0:10:0:0:0:0:0:0:0:0:10:0:0:0:0|28:39-41:0:0:0:0:4:0:0:0:0:0:0:0:0:4:0:0:0:0
l_OA_65_23.dot	C	20	16	65,23	65:94-96:0:0:0:0:11:0:0:0:0:0:0:0:0:11:0:0:0:0|23:F34:0:0:0:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0
l_OB_20_39_29.dot	C	24	16	20,39,29	20:F30:0:0:0:0:2:0:0:0:0:0:0:0:0:2:0:0:0:0|39:F58:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0:0:0:0|29:F43:0:0:0:0:4:0:0:0:0:0:0:0:0:4:0:0:0:0
l_OB_29_30_29.dot	C	24	16	29,30,29	29:F43:0:0:0:0:4:0:0:0:0:0:0:0:0:4:0:0:0:0|30:42-44:0:0:0:0:4:0:0:0:0:0:0:0:0:4:0:0:0:0|29:F43:0:0:0:0:4:0:0:0:0:0:0:0:0:4:0:0:0:0
l_OB_30_30_28.dot	C	24	16	30,30,28	30:42-44:0:0:0:0:4:0:0:0:0:0:0:0:0:4:0:0:0:0|30:42-44:0:0:0:0:4:0:0:0:0:0:0:0:0:4:0:0:0:0|28:39-41:0:0:0:0:4:0:0:0:0:0:0:0:0:4:0:0:0:0
l_OB_40_24_24.dot	C	24	16	40,24,24	40:57-59:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0:0:0:0|24:33-35:0:0:0:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0|24:33-35:0:0:0:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0
l_OC_22.dot	C	18	16	34,22,25	34:F51:2:2:0:0:1:0:0:4:3:4:0:3:4:1:1:4:4:4|22:F33:0:0:0:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0|25:F37:0:0:0:0:1:0:0:3:3:3:0:3:3:1:1:3:3:3
l_OC_23.dot	C	18	16	34,23,25	34:F51:2:2:0:0:1:0:0:4:3:4:0:3:4:1:1:4:4:4|23:F34:0:0:0:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0|25:F37:0:0:0:0:1:0:0:3:3:3:0:3:3:1:1:3:3:3
l_OC_24.dot	C	18	16	34,24,25	34:F51:2:2:0:0:1:0:0:4:3:4:0:3:4:1:1:4:4:4|24:33-35:0:0:0:0:3:0:0:0:0:0:0:0:0:3:0:0:0:0|25:F37:0:0:0:0:1:0:0:3:3:3:0:3:3:1:1:3:3:3
l_OD_49.dot	C	18	16	41,49	41:54-57:0:0:0:0:5:1:0:3:3:3:0:3:3:5:0:3:3:3|49:F73:2:4:0:0:1:1:0:4:3:4:0:3:8:1:1:8:8:8
l_OD_50.dot	C	18	16	41,50	41:54-57:0:0:0:0:5:1:0:3:3:3:0:3:3:5:0:3:3:3|50:72-74:2:4:0:0:1:1:0:4:3:4:0:3:8:1:1:8:8:8
l_OD_51.dot	C	18	16	41,51	41:54-57:0:0:0:0:5:1:0:3:3:3:0:3:3:5:0:3:3:3|51:73-75:2:4:0:0:1:1:0:4:3:4:0:3:8:1:1:8:8:8
l_OD_52.dot	C	18	16	41,52	41:54-57:0:0:0:0:5:1:0:3:3:3:0:3:3:5:0:3:3:3|52:75-77:2:4:0:0:1:1:0:4:3:4:0:3:8:1:1:8:8:8
l_OD_53.dot	C	18	16	41,53	41:54-57:0:0:0:0:5:1:0:3:3:3:0:3:3:5:0:3:3:3|53:76-78:2:4:0:0:1:1:0:4:3:4:0:3:8:1:1:8:8:8
